phenotype,chrom,region,pos,is_STR,varname,p_val,susie_cs,susie_alpha,susie_cs_hardcall,susie_alpha_hardcall,susie_cs_ratio,susie_alpha_ratio,finemap_pip,finemap_pip_ratio,finemap_pip_total_prob,finemap_pip_prior_std,finemap_pip_conv_tol,finemap_pip_mac,finemap_pip_gt_thresh
alkaline_phosphatase,11,11_125859426_126478889,126281048,true,STR_126281048,1.52e-151,-1,0.0,-1,0.0,-1,0.0,1.0,0.0,0.0,0.0,0.981168,0.0,0.0
alkaline_phosphatase,13,13_42527332_43527001,42973282,true,STR_42973282,1.2e-91,1,0.396722316392997,1,0.325770596165835,1,0.132290228855159,0.922831,0.0,0.689091,0.407789,0.70389,0.706925,0.603239
alkaline_phosphatase,16,16_58424341_58785664,58638522,true,STR_58638522,5.33e-11,-1,0.0,1,0.849314343157586,-1,0.0,0.931433,0.890539,0.96675,0.954292,0.931433,0.923765,0.937319
apolipoprotein_a,1,1_93414383_94016839,93858126,true,STR_93858126,2.51e-20,1,0.968569572891821,1,0.970611434470649,1,0.882919718627439,0.985561,0.94363,1.0,0.994605,0.985561,0.98697,0.978752
apolipoprotein_a,3,3_46588120_51384388,49959072,true,STR_49959072,3.53e-17,-1,0.0,-1,0.0,-1,0.0,1.0,0.997214,1.0,0.990283,1.0,1.0,1.0
apolipoprotein_a,11,11_46179187_50905592,47783689,true,STR_47783689,1.08e-35,2,0.789358490557781,2,0.793852902197627,2,0.0103880831905891,1.0,0.925308,1.0,1.0,1.0,1.0,1.0
apolipoprotein_a,11,11_46179187_50905592,47332457,true,STR_47332457,1.67e-42,1,0.995468687920397,1,0.99169737794049,-1,0.0,1.0,1.0,1.0,0.0992384,1.0,1.0,1.0
apolipoprotein_a,11,11_116169883_117620067,116942496,true,STR_116942496,2.75e-203,5,0.997862319210283,5,0.995331934240501,5,0.976617917402793,1.0,0.0,0.0,1.0,1.0,1.0,1.0
apolipoprotein_a,12,12_122506481_124767514,123781097,true,STR_123781097,1.63e-14,-1,0.0,-1,0.0,-1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
apolipoprotein_a,12,12_122506481_124767514,123728980,true,STR_123728980,5.49e-34,1,0.661214923283126,1,0.0725079800366454,1,0.0194029949342415,0.986351,0.0,0.995163,0.930457,0.986351,0.986351,0.986351
apolipoprotein_a,15,15_63198779_63760478,63363401,true,STR_63363401,3.14e-21,1,0.687284243203915,1,0.887221376672743,-1,0.0,0.921159,0.691119,0.934547,0.75356,0.919327,0.902021,0.872989
apolipoprotein_b,2,2_26890610_28657309,27736777,true,STR_27736777,2.27e-47,2,0.999097772672872,-1,0.0,-1,0.0,0.0153569,0.0,0.0359733,1.0,0.0153569,0.0105272,0.0336365
apolipoprotein_b,2,2_202903129_204477252,203594057,true,STR_203594057,2.68e-13,-1,0.0,-1,0.0,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
apolipoprotein_b,12,12_57520789_57973639,57701088,true,STR_57701088,1.08e-12,1,0.114085293082744,1,0.0576548286725936,1,0.0265692093419392,0.865195,0.632102,0.967842,0.95983,0.865195,0.847091,0.857724
apolipoprotein_b,13,13_32740559_33130519,32942921,true,STR_32942921,2.25e-27,1,0.971756337342856,1,0.980841936444732,-1,0.0,0.0148776,0.0,0.00726115,0.0,0.014875,0.0106844,0.0
apolipoprotein_b,20,20_44226554_44825166,44544393,true,STR_44544393,1.92e-40,-1,0.0,1,0.0494550953893502,-1,0.0,0.96776,0.802843,1.0,0.567607,0.968091,0.968152,0.951113
aspartate_aminotransferase,1,1_198471613_198904234,198649578,true,STR_198649578,6.41e-14,-1,0.0,-1,0.0,-1,0.0,0.883972,0.619425,0.780709,0.838001,0.923408,0.86939,0.605632
aspartate_aminotransferase,3,3_57818818_58647195,58388736,true,STR_58388736,3.16e-60,2,0.950699125707588,2,0.954189733453737,2,0.738276147636484,0.0,1.0,1.0,1.0,1.0,1.0,1.0
aspartate_aminotransferase,3,3_57818818_58647195,58461518,true,STR_58461518,1.23e-62,-1,0.0,-1,0.0,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aspartate_aminotransferase,10,10_99612077_103497435,101167190,true,STR_101167190,2.3e-55,8,0.572893808520116,8,0.490971052562189,8,0.26094276533505,1.0,,1.0,1.0,1.0,1.0,1.0
aspartate_aminotransferase,11,11_77784014_78411462,77989762,true,STR_77989762,1.04e-21,1,0.68439491641663,1,0.787217479607604,1,0.351680448332693,0.86251,0.554681,0.994012,0.976278,0.86251,0.834659,0.878674
aspartate_aminotransferase,12,12_120673216_121614192,121346985,true,STR_121346985,1.49e-21,1,0.974348804167479,1,0.835111163074088,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aspartate_aminotransferase,14,14_35039495_35975959,35662185,true,STR_35662185,2.48e-17,-1,0.0,-1,0.0,-1,0.0,0.983994,0.984054,1.0,0.915665,0.981129,0.97931,1.0
aspartate_aminotransferase,19,19_45289451_45557505,45414867,true,STR_45414867,1.95e-14,1,0.673281348501148,1,0.578601251343041,1,0.299793551962081,0.810833,0.460011,0.906142,0.909971,0.810833,0.820821,0.948364
c_reactive_protein,1,1_21661068_21959066,21822677,true,STR_21822677,2.53e-13,1,0.904057697581329,-1,0.0,-1,0.0,0.950463,0.733294,0.985999,0.987186,0.950463,0.95624,0.981272
c_reactive_protein,1,1_153481066_154824197,154428683,true,STR_154428683,6.18e-306,1,0.432603137478476,1,0.504059507302801,1,0.158681778869979,0.81848,0.0,0.849367,0.944469,0.81848,0.832708,0.80686
c_reactive_protein,2,2_102564020_103219213,102725406,true,STR_102725406,2.36e-12,-1,0.0,-1,0.0,-1,0.0,1.0,0.268654,1.0,1.0,1.0,0.0,1.0
c_reactive_protein,2,2_102564020_103219213,102650372,true,STR_102650372,0.000271,3,0.957176974110226,-1,0.0,-1,0.0,0.986595,0.258434,1.0,0.995059,0.986595,1.0,1.0
c_reactive_protein,14,14_72839565_74340470,73400265,true,STR_73400265,2.17e-14,-1,0.0,-1,0.0,-1,0.0,0.949244,0.273382,0.982738,0.994172,0.949244,0.954542,0.982672
c_reactive_protein,16,16_50948654_51871793,51137533,true,STR_51137533,8.41e-18,4,0.999785781071426,4,0.999519126042294,4,0.999645902646383,1.0,1.0,1.0,1.0,1.0,1.0,1.0
c_reactive_protein,17,17_76157366_76570231,76398479,true,STR_76398479,2.41e-12,4,0.0342611569218842,4,0.0412154419726474,-1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
c_reactive_protein,19,19_44431804_47173565,44825932,true,STR_44825932,1.73e-11,-1,0.0,-1,0.0,-1,0.0,1.0,0.0,1.0,1.0,0.990799,1.0,1.0
calcium,6,6_33383446_33780173,33530629,true,STR_33530629,9.79e-13,1,0.781532785813511,1,0.910420216706489,-1,0.0,0.990755,0.955028,0.99304,0.983764,0.990755,0.988747,0.9739
calcium,6,6_33942732_34531964,34182033,true,STR_34182033,9.85e-43,1,0.659385525508077,-1,0.0,-1,0.0,0.937712,0.74456,0.970917,0.920354,0.937712,0.914178,0.959046
calcium,11,11_2808605_3232154,2982726,true,STR_2982726,1.27e-31,1,0.999980366879562,1,0.99999688130186,1,0.999950850263127,1.0,0.783557,1.0,0.937647,1.0,0.990932,1.0
calcium,11,11_118664657_119303050,119159185,true,STR_119159185,8.42e-13,1,0.0479804066097769,1,0.054546495948031,1,0.0127896462152805,0.987904,0.40726,0.99399,0.985911,0.859803,0.994009,0.993985
calcium,12,12_48893131_49277036,49050047,true,STR_49050047,3.52e-23,-1,0.0,1,0.921692534543398,-1,0.0,0.965742,0.78653,0.997577,0.996967,0.965742,0.962672,0.968851
calcium,15,15_96523293_96794607,96666902,true,STR_96666902,8.34e-13,1,0.989056230775512,1,0.984313489734893,1,0.955742600075575,0.995326,0.963208,1.0,1.0,0.995326,0.995997,0.995133
calcium,19,19_35225516_35711161,35537713,true,STR_35537713,1.14e-43,2,0.998248588500848,2,0.997586481958699,2,0.973260298622938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cholesterol,2,2_20739070_21698088,21285425,true,STR_21285425,2.75e-216,1,0.999999932477545,1,0.999999915804477,1,0.999999793315697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creatinine,2,2_15598095_16025274,15786517,true,STR_15786517,4.51e-36,1,0.999990014603363,1,0.999991329776067,1,0.999959554082821,1.0,1.0,1.0,1.0,1.0,1.0,1.0
creatinine,2,2_54431416_55162005,54761011,true,STR_54761011,3.97e-16,-1,0.0,-1,0.0,-1,0.0,1.0,0.985964,1.0,1.0,1.0,1.0,1.0
creatinine,2,2_148248434_149286696,148599967,true,STR_148599967,5.45e-34,1,0.993225493219051,1,0.990896489281527,1,0.969665965405113,0.937933,0.776924,0.96725,0.453297,0.938052,0.816743,0.946084
creatinine,3,3_52089640_53296555,53002617,true,STR_53002617,4.1e-13,-1,0.0,-1,0.0,-1,0.0,0.92668,0.75265,0.987425,1.0,0.92668,0.953961,0.979226
creatinine,3,3_141436314_142656197,141706108,true,STR_141706108,9.47e-48,1,0.874450639881951,1,0.845386035605329,1,0.850637555183898,0.900867,0.916299,0.917791,0.871346,0.900867,0.904184,0.904019
creatinine,5,5_132021848_132600008,132443417,true,STR_132443417,1.72e-20,-1,0.0,-1,0.0,-1,0.0,0.982461,0.876285,1.0,0.698239,0.98246,0.929694,1.0
creatinine,6,6_33516956_33916998,33784589,true,STR_33784589,1.05e-12,-1,0.0,-1,0.0,-1,0.0,0.983219,0.778391,0.987344,1.0,0.986537,0.9479,1.0
creatinine,6,6_131676791_132092804,131884422,true,STR_131884422,2.75e-17,1,0.990590101393178,1,0.995008741719693,1,0.961406857577355,0.573901,0.58607,0.399064,0.396359,0.570857,0.689485,0.42601
creatinine,8,8_23270279_23937576,23759874,true,STR_23759874,1.01e-62,1,0.990075367279124,1,0.984325945456937,1,0.924525620245843,0.0,0.0,0.0,0.0,0.885348,0.923598,0.189047
creatinine,8,8_23270279_23937576,23395572,true,STR_23395572,3.22e-9,-1,0.0,-1,0.0,-1,0.0,0.861623,0.0103874,0.98206,0.362902,0.186972,0.195278,0.336733
creatinine,10,10_126180434_126684506,126483088,true,STR_126483088,4.44e-19,1,0.800083722058672,1,0.807217323420635,1,0.514725867220592,0.972422,0.8021,0.987035,0.987046,0.972422,0.976146,0.986351
creatinine,13,13_42553357_42907887,42748078,true,STR_42748078,9.33e-14,1,0.867683504243713,1,0.689214541847548,1,0.454455826598827,0.823131,0.502677,0.871224,0.855675,0.823131,0.784699,0.838288
creatinine,15,15_44973209_46258362,45584606,true,STR_45584606,7.31e-62,3,0.994915819147041,-1,0.0,-1,0.0,0.921557,0.589584,0.978655,0.0,0.925748,0.840282,1.0
creatinine,15,15_74336720_78105424,76168401,true,STR_76168401,0.0000364,-1,0.0,-1,0.0,-1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.881067
creatinine,15,15_74336720_78105424,76246773,true,STR_76246773,1.9e-69,1,0.999967229215905,-1,0.0,-1,0.0,0.0,0.0,1.0,0.983225,0.0,0.0,0.104007
creatinine,20,20_62014177_63025520,62350412,true,STR_62350412,5.59e-19,1,0.997055391658491,-1,0.0,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cystatin_c,2,2_54390861_55154756,54761011,true,STR_54761011,6.81e-16,-1,0.0,1,0.968224317110894,-1,0.0,0.889513,0.579327,0.894749,0.94909,0.889921,0.889881,0.89661
cystatin_c,3,3_48081597_51336902,49090917,true,STR_49090917,0.000289,-1,0.0,-1,0.0,-1,0.0,1.0,0.998358,1.0,0.858143,1.0,1.0,1.0
cystatin_c,3,3_48081597_51336902,49852804,true,STR_49852804,1.43e-13,1,0.81471557254629,1,0.484350793554437,-1,0.0,0.983766,0.857102,0.997123,0.991312,0.983766,0.985761,0.996901
cystatin_c,3,3_141529685_142000598,141706108,true,STR_141706108,5.96e-14,1,0.744329875223748,1,0.905425587936161,-1,0.0,0.836401,0.618621,0.919194,0.872849,0.836401,0.839711,0.834082
cystatin_c,4,4_103266275_104503012,103731528,true,STR_103731528,1.9e-29,1,0.103297933301145,1,0.144604119356259,1,0.0252754094298528,0.984381,0.630963,0.98594,0.901793,0.984381,0.98419,0.979235
cystatin_c,6,6_2390969_2707948,2525609,true,STR_2525609,2.64e-13,-1,0.0,-1,0.0,-1,0.0,0.857365,0.507456,0.939199,0.896416,0.857545,0.855716,0.928395
cystatin_c,6,6_6865851_7418407,7223489,true,STR_7223489,3.57e-21,2,0.760832280713398,2,0.681437028033904,2,0.195194835881285,0.951939,0.660209,0.954377,1.0,0.94851,0.950566,0.942765
cystatin_c,6,6_50472378_52175922,50833055,true,STR_50833055,2.86e-15,-1,0.0,-1,0.0,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cystatin_c,6,6_89918137_90414927,90121977,true,STR_90121977,1.24e-16,1,0.923472340653706,1,0.867311078863911,-1,0.0,0.935012,0.866044,0.923826,0.93277,0.935012,0.92414,0.631825
cystatin_c,8,8_23426553_24137228,23785289,true,STR_23785289,1.61e-83,1,0.989641959634439,1,0.98528993745156,-1,0.0,0.013906,0.0,0.0,0.0,0.0219858,0.0,0.0
cystatin_c,10,10_131141332_131574487,131359219,true,STR_131359219,1.33e-12,1,0.98677465332257,-1,0.0,1,0.954028581524865,0.130912,0.0236087,0.230929,0.345997,0.156348,0.25096,0.3233
cystatin_c,15,15_75325277_77584397,76168401,true,STR_76168401,0.000955,,0.0,,0.0,,0.0,0.998212,0.998202,0.0,0.0,0.998212,0.998326,
cystatin_c,15,15_75325277_77584397,76246773,true,STR_76246773,1.57e-65,1,0.999472748119039,-1,0.0,-1,0.0,0.00178819,0.00179758,0.0,0.033096,0.00178811,0.00167417,0.0
cystatin_c,16,16_20156414_21220800,20365081,true,STR_20365081,2.09e-64,-1,0.0,-1,0.0,-1,0.0,0.848834,0.0,0.855995,0.0,0.848834,0.848834,0.870989
cystatin_c,17,17_37249806_38727333,37841742,true,STR_37841742,2.22e-14,1,0.80504923965625,1,0.799250674657791,-1,0.0,0.880517,0.0371899,0.947187,0.985568,0.872032,0.871311,0.944826
cystatin_c,19,19_37312908_38598275,38431712,true,STR_38431712,5.79e-15,-1,0.0,-1,0.0,-1,0.0,1.0,0.841773,1.0,0.886988,1.0,1.0,1.0
eosinophil_count,1,1_65049573_65699935,65440770,true,STR_65440770,1.53e-24,1,0.472157946293586,1,0.826165217221179,1,0.0755282383966693,0.992715,0.92254,1.0,1.0,0.992715,0.9789,1.0
eosinophil_count,2,2_28553806_28894435,28685815,true,STR_28685815,2.79e-28,1,0.991930701245097,1,0.997024045635569,1,0.969787223538852,1.0,1.0,1.0,0.650141,1.0,1.0,1.0
eosinophil_count,2,2_101930277_103598526,102972668,true,STR_102972668,1.49e-142,2,0.999999994273209,2,0.999999998306105,2,0.999999999992654,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eosinophil_count,2,2_111588221_112546566,111878544,true,STR_111878544,4.96e-58,1,0.999999791865959,1,0.999962032752984,1,0.999999122102222,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_count,2,2_160552559_161350246,161162640,true,STR_161162640,2.21e-12,-1,0.0,-1,0.0,-1,0.0,0.949907,0.835196,0.956306,1.0,0.949907,0.953236,1.0
eosinophil_count,3,3_48106919_53228262,51119324,true,STR_51119324,1.7e-27,1,0.962003371151103,1,0.985229764687374,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_count,3,3_111677516_112880266,112071388,true,STR_112071388,5.5e-20,1,0.871952736390784,1,0.90310718026277,1,0.0741002091137792,0.904311,0.314145,0.90148,0.786894,0.895376,0.895376,0.90181
eosinophil_count,4,4_122861417_123897018,123062419,true,STR_123062419,3.76e-13,-1,0.0,-1,0.0,-1,0.0,1.0,0.547646,1.0,0.0146817,0.904503,1.0,0.736089
eosinophil_count,5,5_109486717_110898696,110417503,true,STR_110417503,1.46e-35,1,0.999943402664121,1,0.999960939774725,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_count,6,6_134774873_135663639,135571703,true,STR_135571703,7.73e-8,4,0.985375206900215,4,0.984175203839393,4,0.903730040435062,1.0,0.832504,1.0,1.0,1.0,1.0,1.0
eosinophil_count,6,6_134774873_135663639,135399423,true,STR_135399423,6.08e-41,2,0.76673399426036,2,0.635438679437633,2,0.429582487334859,0.911597,0.496354,0.930778,1.0,0.911597,0.911565,0.931162
eosinophil_count,7,7_20251018_20856205,20505620,true,STR_20505620,2.86e-83,1,0.00978602829979461,-1,0.0,-1,0.0,0.863902,0.265702,0.989884,0.0,0.863902,0.886988,0.323931
eosinophil_count,7,7_138630211_138923087,138785122,true,STR_138785122,3.12e-13,1,0.0725540438937336,1,0.0735749946715428,-1,0.0,0.886075,0.586907,0.837403,0.665806,0.886075,0.85267,0.741832
eosinophil_count,9,9_4667339_6981646,4851732,true,STR_4851732,5.08e-12,6,0.487619989744698,5,0.291296115723362,7,0.0981326530313685,1.0,0.706319,0.871379,1.0,1.0,1.0,0.930562
eosinophil_count,10,10_26548486_26886499,26721459,true,STR_26721459,1.75e-39,-1,0.0,-1,0.0,-1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
eosinophil_count,10,10_94077905_94971093,94596852,true,STR_94596852,2.23e-18,2,0.990152211663928,-1,0.0,2,0.947045978893177,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_count,12,12_123276214_124038433,123846275,true,STR_123846275,1.95e-19,1,0.998861153914972,1,0.996501974806794,1,0.998617732607019,0.992947,0.974986,0.99594,0.997934,0.996525,0.98555,0.996826
eosinophil_count,13,13_50628651_51185809,50896156,true,STR_50896156,6.79e-15,1,0.797913054685032,-1,0.0,-1,0.0,0.968764,0.765068,0.984927,1.0,0.979836,0.952619,0.871499
eosinophil_count,15,15_67249468_67799317,67533379,true,STR_67533379,2.16e-18,3,0.950896738367019,4,0.942112071414317,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_count,19,19_16153737_16946479,16424879,true,STR_16424879,4.53e-104,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_count,21,21_36111516_36945715,36456826,true,STR_36456826,4.05e-29,3,0.0434995262885631,3,0.0881930994558176,-1,0.0,1.0,0.0,0.0,1.0,0.991926,0.0,0.0
eosinophil_percent,1,1_65030172_65718524,65440770,true,STR_65440770,5.79e-22,2,0.258981169138168,2,0.235311396138804,2,0.0569159738002882,0.858872,0.589214,0.916245,0.913595,0.858872,0.862325,0.88414
eosinophil_percent,2,2_28553806_28894435,28685815,true,STR_28685815,2.9e-25,1,0.818230423628603,1,0.96217091723951,1,0.123921021263434,1.0,1.0,1.0,0.362287,1.0,1.0,1.0
eosinophil_percent,2,2_101986785_103816006,102972668,true,STR_102972668,4.44e-147,2,0.999999986385999,2,0.999999999258009,2,0.999999942469955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eosinophil_percent,2,2_111588221_112546566,111878544,true,STR_111878544,5.88e-75,1,0.999999998299554,1,0.999997076183839,1,0.999999992930571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_percent,3,3_32911218_33333705,33124887,true,STR_33124887,1.9e-20,2,0.10913297365865,2,0.078336261413542,-1,0.0,0.986394,0.315931,0.971135,1.0,0.986394,0.973155,0.699297
eosinophil_percent,3,3_48088498_53256948,51119324,true,STR_51119324,1.08e-29,1,0.992679760912058,1,0.999178096526667,1,0.990149550876005,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_percent,4,4_122861417_123755024,123248255,true,STR_123248255,1.96e-30,1,0.970124981408231,1,0.729013558400269,1,0.65604137386615,0.912335,0.635533,0.995236,1.0,0.912335,1.0,0.978777
eosinophil_percent,5,5_110262125_110898696,110417503,true,STR_110417503,6.31e-31,1,0.0137960133211723,-1,0.0,-1,0.0,0.977295,0.826343,1.0,0.158591,0.977295,0.974851,0.991799
eosinophil_percent,7,7_20251018_20856205,20505620,true,STR_20505620,5.6e-93,1,0.401769968620583,1,0.114180302996961,1,0.0817922241021464,0.987943,0.781582,1.0,0.135911,0.987918,0.987674,0.873869
eosinophil_percent,7,7_138655222_138999416,138785122,true,STR_138785122,2.66e-16,1,0.103692506099073,1,0.0638576333065513,-1,0.0,0.895397,0.646089,0.941358,0.996909,0.895397,0.906361,0.978638
eosinophil_percent,8,8_130256945_130827811,130623382,true,STR_130623382,3.02e-65,1,0.969601783138041,1,0.965304196179682,-1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
eosinophil_percent,10,10_5737352_6357971,6040434,true,STR_6040434,9.04e-11,2,0.918846475165451,-1,0.0,-1,0.0,0.941995,0.515027,0.993585,1.0,0.941995,0.95887,1.0
eosinophil_percent,10,10_94076867_94971093,94596852,true,STR_94596852,3.33e-19,2,0.99934171031303,2,0.926958543096247,2,0.99672814768445,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_percent,13,13_50312024_51215632,50896156,true,STR_50896156,5.46e-19,1,0.992317586148102,1,0.574367337552594,1,0.647446720655797,0.936101,0.677721,1.0,1.0,0.936101,0.967128,1.0
eosinophil_percent,15,15_67249468_67956506,67533379,true,STR_67533379,6.01e-15,3,0.0778110881391466,-1,0.0,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_percent,15,15_85963342_86465248,86284924,true,STR_86284924,7.65e-16,-1,0.0,-1,0.0,-1,0.0,0.849813,0.689993,0.806851,0.506107,0.849813,0.869465,0.773002
eosinophil_percent,18,18_61052912_61700167,61542641,true,STR_61542641,1.73e-11,-1,0.0,-1,0.0,-1,0.0,0.971427,0.223638,0.971427,1.0,0.976394,0.971427,0.971427
eosinophil_percent,19,19_16139866_16946479,16424879,true,STR_16424879,4.23e-132,1,1.0,1,1.0,1,1.0,1.0,0.0,0.0,0.965007,1.0,1.0,1.0
eosinophil_percent,19,19_16139866_16946479,16441983,true,STR_16441983,5.4e-63,6,0.99953031448355,-1,0.0,-1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eosinophil_percent,19,19_41100273_41426275,41301275,true,STR_41301275,4.94e-11,-1,0.0,-1,0.0,-1,0.0,0.992374,0.941956,0.996972,1.0,0.992374,0.994405,0.98975
gamma_glutamyltransferase,1,1_23158362_23956324,23747997,true,STR_23747997,6.44e-27,1,0.986814884887593,1,0.983184905014698,1,0.934272192561661,0.713257,0.0722044,0.19788,1.0,0.299328,0.277903,0.179393
gamma_glutamyltransferase,1,1_26867928_27472994,27247245,true,STR_27247245,1.52e-16,1,0.953704620921002,1,0.951746339029815,-1,0.0,0.991997,0.969835,1.0,1.0,0.992,0.990599,1.0
gamma_glutamyltransferase,3,3_11902240_12867026,12691089,true,STR_12691089,3.02e-12,-1,0.0,-1,0.0,-1,0.0,0.895988,0.259774,0.897956,1.0,0.895988,0.895988,0.902696
gamma_glutamyltransferase,3,3_187628784_188016304,187881734,true,STR_187881734,7.21e-11,-1,0.0,-1,0.0,-1,0.0,0.948861,0.673509,1.0,1.0,0.94886,0.785089,1.0
gamma_glutamyltransferase,7,7_44650860_45080357,44792811,true,STR_44792811,5.79e-11,1,0.0894950917520402,1,0.145921508923256,1,0.019973387338474,0.869358,0.458312,0.893748,0.797563,0.869358,0.837409,0.772147
gamma_glutamyltransferase,8,8_58966172_59692885,59395436,true,STR_59395436,1.35e-26,1,0.961300158322808,1,0.987960304568343,-1,0.0,0.734311,0.256074,0.608387,0.964593,0.735754,0.737931,0.680083
gamma_glutamyltransferase,10,10_79353949_80065471,79671960,true,STR_79671960,1.54e-15,2,0.999999999996336,2,0.999999999998824,2,0.999999999995742,0.0694748,0.0174466,0.0646227,0.0,0.0694748,0.0658817,0.50146
gamma_glutamyltransferase,12,12_6368351_6636657,6509855,true,STR_6509855,9.93e-11,-1,0.0,-1,0.0,-1,0.0,0.846917,0.627505,0.895453,0.912741,0.809597,0.792681,0.995532
gamma_glutamyltransferase,14,14_102409523_104500359,103891577,true,STR_103891577,9.12e-19,3,0.785636578737444,3,0.95917375829778,-1,0.0,0.988207,0.500832,0.877845,1.0,0.987655,0.980256,0.894758
gamma_glutamyltransferase,15,15_50684669_51279001,50900081,true,STR_50900081,1.92e-13,-1,0.0,-1,0.0,-1,0.0,0.910297,0.910575,0.973326,0.990421,0.910297,0.929349,0.960183
gamma_glutamyltransferase,21,21_29867536_30971760,30125677,true,STR_30125677,5.06e-23,-1,0.0,1,0.974684551371994,-1,0.0,1.0,0.63885,1.0,1.0,1.0,1.0,1.0
glucose,2,2_169054828_170088351,169762580,true,STR_169762580,1.14e-68,2,0.999999996619424,2,0.999999986513263,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
